character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
阿,a1,7,277856,598454,-0.366,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.660,510.290,507.250,189.244,596.286,3.224,217.180,3.661,3.1250,3.3,2.4
啊,a1,10,2726,5330,-0.323,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.088,263.742,3.577,2.5625,2.8,2.0
皑,ai2,11,392,640,-0.240,78,126,257,254,212,105,0.243,0.615,1.230,1.227,1.262,1.167,0.957,5.708,3.087,5.389,3.7500,3.3,3.6
蔼,ai3,14,1735,7691,-0.632,2455,902,1106,1411,2286,1258,7.648,4.400,5.292,6.816,13.607,13.978,8.624,5.017,5.852,5.164,4.0000,4.3,2.9
霭,ai3,19,496,2499,-0.669,748,230,305,548,758,418,2.330,1.122,1.459,2.647,4.512,4.644,2.786,5.422,2.187,5.497,3.7500,3.6,3.0
艾,ai4,5,60098,247092,-0.609,94001,67663,55262,32865,29895,27476,292.838,330.063,264.411,158.768,177.946,305.289,254.886,3.592,27.075,4.552,3.5000,3.5,3.0
爱,ai4,10,1443486,8347869,-0.705,3447308,2786913,2302717,888139,284567,80397,10739.277,13594.698,11017.785,4290.527,1693.851,893.300,7038.240,2.152,504.846,3.296,4.4375,4.6,2.8
叆,ai4,14,11,34,-0.511,6,2,6,9,9,13,0.019,0.010,0.029,0.043,0.054,0.144,0.050,5.979,0.000,6.000,3.0000,3.1,2.5
安,an1,6,4610624,1114890,0.611,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.362,633.791,3.197,4.5625,4.3,3.5
桉,an1,10,4250,1711,0.426,108,137,257,720,1799,2940,0.336,0.668,1.230,3.478,10.708,32.667,8.181,5.037,3.409,5.356,3.4375,3.4,3.2
谙,an1,11,124,134,-0.039,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.320,5.879,2.572,5.447,3.1875,3.2,3.2
岸,an4,8,22487,11265,0.332,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.502,114.282,3.938,3.4375,3.3,3.3
昂,ang2,8,114849,10247,0.836,7707,5057,7526,18131,39664,46939,24.009,24.668,36.010,87.589,236.095,521.544,154.986,3.807,35.693,4.435,4.3750,3.7,3.9
敖,ao2,10,17441,2114,0.784,8147,1490,1022,1451,3583,3860,25.380,7.268,4.890,7.010,21.327,42.889,18.127,4.718,2.444,5.463,3.4375,2.8,3.6
遨,ao2,13,1107,130,0.790,21,27,59,206,440,484,0.065,0.132,0.282,0.995,2.619,5.378,1.579,5.589,1.994,5.524,4.0000,3.4,3.7
熬,ao2,14,1475,105,0.867,360,121,210,367,429,95,1.121,0.590,1.005,1.773,2.554,1.056,1.350,5.629,18.972,4.700,1.6875,2.1,2.7
翱,ao2,16,15014,1310,0.840,713,567,1033,2585,4914,6505,2.221,2.766,4.943,12.488,29.250,72.278,20.658,4.664,2.380,5.471,4.5000,3.5,4.1
鳌,ao2,18,6121,128,0.959,2853,544,537,976,862,531,8.888,2.654,2.569,4.715,5.131,5.900,4.976,5.224,2.572,5.447,2.0000,2.2,3.2
傲,ao4,12,93106,33758,0.468,7337,3872,4961,11388,46882,52502,22.857,18.888,23.737,55.014,279.060,583.356,163.819,3.783,26.111,4.567,3.3750,2.6,3.7
奥,ao4,12,124385,28948,0.622,736,362,785,5541,43886,102197,2.293,1.766,3.756,26.768,261.226,1135.522,238.555,3.621,70.614,4.145,3.9375,2.8,3.5
骜,ao4,13,4052,423,0.811,32,34,99,347,1629,2334,0.100,0.166,0.474,1.676,9.696,25.933,6.341,5.134,0.450,5.839,2.6875,2.5,3.8
澳,ao4,15,46028,10316,0.634,176,112,216,1008,35596,19349,0.548,0.546,1.033,4.870,211.881,214.989,72.311,4.135,28.040,4.537,3.1250,2.8,3.1
鏊,ao4,18,180,15,0.846,11,7,10,19,60,88,0.034,0.034,0.048,0.092,0.357,0.978,0.257,5.901,0.450,5.839,2.9375,2.5,3.0
八,ba1,2,43674,38700,0.060,36689,17762,14795,7961,4144,1029,114.296,86.644,70.789,38.459,24.667,11.433,57.715,4.231,563.434,3.248,2.0625,2.8,2.5
巴,ba1,4,41015,23492,0.272,20428,12027,12304,11361,6629,1765,63.639,58.668,58.871,54.884,39.458,19.611,49.189,4.299,277.247,3.556,2.8125,2.8,2.2
粑,ba1,10,1,1,0.000,0,0,0,0,2,0,0.000,0.000,0.000,0.000,0.012,0.000,0.002,5.999,3.023,5.395,1.1250,2.2,1.6
拔,ba2,8,667,96,0.748,351,89,88,137,80,18,1.093,0.434,0.421,0.662,0.476,0.200,0.548,5.810,71.707,4.138,2.1875,2.3,2.2
白,bai2,5,80178,207742,-0.443,120806,51537,38841,39924,28567,8099,376.343,251.400,185.842,192.870,170.042,89.989,211.081,3.673,776.048,3.110,3.3125,3.3,2.8
百,bai3,6,276137,101455,0.463,131600,83055,64573,50461,32166,15492,409.969,405.146,308.962,243.773,191.464,172.133,288.575,3.538,647.682,3.188,3.5625,3.8,3.2
佰,bai3,8,136942,39523,0.552,64367,38247,30236,22526,14149,7084,200.520,186.571,144.670,108.821,84.220,78.711,133.919,3.870,0.386,5.858,3.5625,3.3,3.2
柏,bai3,9,820862,158797,0.676,368687,184830,133181,109038,99347,84291,1148.558,901.610,637.230,526.754,591.351,936.567,790.345,3.102,36.915,4.421,4.2500,3.6,3.4
拜,bai4,9,662,339,0.323,206,107,153,205,255,74,0.642,0.522,0.732,0.990,1.518,0.822,0.871,5.728,77.560,4.105,2.4375,2.9,3.0
班,ban1,10,5120,2273,0.385,1558,1159,1171,1780,1439,287,4.854,5.654,5.603,8.599,8.565,3.189,6.077,5.150,255.703,3.591,2.7500,2.7,2.9
板,ban3,8,1220,2912,-0.409,2014,656,534,475,349,102,6.274,3.200,2.555,2.295,2.077,1.133,2.922,5.406,196.729,3.704,2.1875,2.3,2.8
邦,bang1,6,673998,154210,0.628,357808,153670,123211,84030,68308,41017,1114.667,749.610,589.526,405.942,406.595,455.744,620.347,3.207,57.816,4.231,3.9375,3.7,3.6
帮,bang1,9,293280,125144,0.402,167513,88421,75438,46555,30126,9602,521.847,431.322,360.947,224.903,179.321,106.689,304.172,3.515,249.207,3.602,3.1250,4.0,3.1
榜,bang3,14,63269,3175,0.904,31786,10085,7866,7407,6512,3189,99.022,49.195,37.636,35.783,38.762,35.433,49.305,4.298,20.451,4.669,3.3750,3.1,3.5
包,bao1,5,5347,1998,0.456,3028,1065,971,1106,961,209,9.433,5.195,4.646,5.343,5.720,2.322,5.443,5.191,513.399,3.289,2.8750,3.1,2.7
薄,bao2,16,2067,611,0.544,109,91,159,635,1155,522,0.340,0.444,0.761,3.068,6.875,5.800,2.881,5.411,96.532,4.011,2.1250,2.1,2.3
宝,bao3,8,5172285,2127202,0.417,2784819,1523802,1154927,962086,603022,270588,8675.449,7433.180,5525.967,4647.758,3589.417,3006.533,5479.717,2.261,158.142,3.798,4.2500,3.8,3.4
保,bao3,9,3517598,832890,0.617,1837397,1056510,763489,445419,191225,56937,5723.978,5153.707,3653.057,2151.783,1138.244,632.633,3075.567,2.512,738.297,3.131,4.1250,4.3,3.5
葆,bao3,12,7780,5287,0.191,4046,1982,2239,1500,1635,1654,12.604,9.668,10.713,7.246,9.732,18.378,11.390,4.907,4.695,5.245,4.1875,3.9,3.2
报,bao4,7,11204,860,0.857,3405,1868,2193,2694,1617,317,10.607,9.112,10.493,13.014,9.625,3.522,9.396,4.983,605.236,3.217,2.9375,3.0,3.1
抱,bao4,8,845,702,0.092,706,77,90,229,320,126,2.199,0.376,0.431,1.106,1.905,1.400,1.236,5.651,112.995,3.943,2.5625,3.3,2.8
豹,bao4,10,86099,227,0.995,11008,11255,16862,25787,17978,3412,34.293,54.902,80.679,124.575,107.012,37.911,73.229,4.129,12.219,4.879,2.8750,2.2,3.5
鲍,bao4,13,953,65,0.872,78,48,126,306,379,81,0.243,0.234,0.603,1.478,2.256,0.900,0.952,5.710,7.653,5.063,2.6250,2.3,2.8
暴,bao4,15,120,34,0.558,14,16,23,52,39,10,0.044,0.078,0.110,0.251,0.232,0.111,0.138,5.944,127.787,3.890,1.3750,1.4,2.6
杯,bei1,8,2766,1275,0.369,863,493,591,1230,699,152,2.688,2.405,2.828,5.942,4.161,1.689,3.286,5.368,78.846,4.098,2.1875,2.6,2.7
北,bei3,5,147648,24703,0.713,47181,30801,28077,31350,24221,10529,146.981,150.249,134.340,151.449,144.173,116.989,140.697,3.849,711.350,3.147,3.1875,3.1,3.3
贝,bei4,4,86040,200807,-0.400,10238,4782,6944,80611,129263,54981,31.894,23.327,33.225,389.425,769.423,610.900,309.699,3.508,83.991,4.071,4.2500,3.7,3.3
备,bei4,8,26759,3003,0.798,2201,8002,8098,4858,5541,1067,6.857,39.034,38.746,23.469,32.982,11.856,25.491,4.577,451.853,3.344,3.4375,3.3,3.3
倍,bei4,10,14784,18071,-0.100,2834,1425,1947,9003,12024,5638,8.829,6.951,9.316,43.493,71.571,62.644,33.801,4.458,111.581,3.949,3.4375,3.1,3.3
被,bei4,10,108,328,-0.505,15,2,6,177,233,3,0.047,0.010,0.029,0.855,1.387,0.033,0.394,5.856,1001.524,2.999,1.9375,2.5,2.5
琲,bei4,12,244,1008,-0.610,117,68,111,389,354,213,0.364,0.332,0.531,1.879,2.107,2.367,1.263,5.645,0.000,6.000,3.4375,3.0,2.8
焙,bei4,12,977,769,0.119,61,26,62,237,627,734,0.190,0.127,0.297,1.145,3.732,8.156,2.275,5.485,1.029,5.693,2.5000,3.0,2.8
蓓,bei4,13,7003,205658,-0.934,9914,12706,24037,81734,60870,23465,30.885,61.980,115.010,394.850,362.321,260.722,204.295,3.688,1.351,5.629,4.4375,3.6,2.9
奔,ben1,8,42332,4410,0.811,989,1163,2654,10973,23288,7679,3.081,5.673,12.699,53.010,138.619,85.322,49.734,4.295,89.908,4.041,3.6875,3.1,3.3
犇,ben1,12,15187,658,0.917,198,360,770,5522,6900,2094,0.617,1.756,3.684,26.676,41.071,23.267,16.179,4.765,0.000,6.000,3.6250,3.0,3.0
本,ben3,5,1096052,401865,0.463,711590,318846,236043,130050,71536,29278,2216.791,1555.346,1129.392,628.261,425.810,325.311,1046.819,2.980,2041.249,2.690,3.2500,3.2,3.1
笨,ben4,11,293,209,0.167,164,66,45,61,136,30,0.511,0.322,0.215,0.295,0.810,0.333,0.414,5.850,20.515,4.667,1.0625,2.3,1.3
镚,beng4,16,16,0,1.000,0,0,0,5,7,4,0.000,0.000,0.000,0.024,0.042,0.044,0.018,5.992,0.000,6.000,2.1875,2.3,2.5
比,bi3,4,5245,3339,0.222,1894,1097,1305,1673,1740,874,5.900,5.351,6.244,8.082,10.357,9.711,7.608,5.065,1197.996,2.921,2.5625,2.6,3.0
彼,bi3,8,1446,138,0.826,581,81,97,279,335,213,1.810,0.395,0.464,1.348,1.994,2.367,1.396,5.621,71.129,4.142,3.1250,3.2,2.9
必,bi4,5,335288,172516,0.321,222915,107802,87438,48764,30268,10720,694.439,525.863,418.364,235.575,180.167,119.111,362.253,3.440,903.513,3.044,3.5000,2.8,3.8
毕,bi4,6,22837,13225,0.267,9545,6990,7519,6072,4408,1544,29.735,34.098,35.976,29.333,26.238,17.156,28.756,4.526,127.851,3.890,3.3125,2.9,3.3
铋,bi4,10,46,28,0.243,8,11,15,16,19,5,0.025,0.054,0.072,0.077,0.113,0.056,0.066,5.972,0.643,5.784,2.5000,2.5,3.0
弼,bi4,12,6039,391,0.878,2666,726,675,936,891,522,8.305,3.541,3.230,4.522,5.304,5.800,5.117,5.213,9.004,5.000,3.0625,3.0,3.5
碧,bi4,14,222613,2524623,-0.838,1197562,601436,483682,245525,167954,46673,3730.723,2933.834,2314.268,1186.111,999.726,518.589,1947.209,2.710,27.011,4.553,4.1875,3.9,3.1
壁,bi4,16,5184,2918,0.280,3492,1188,861,982,1099,484,10.879,5.795,4.120,4.744,6.542,5.378,6.243,5.140,125.215,3.899,2.7500,2.9,2.8
璧,bi4,18,3947,5419,-0.157,2736,706,819,1569,1952,1543,8.523,3.444,3.919,7.580,11.619,17.144,8.705,5.013,6.045,5.152,3.7500,3.9,3.3
边,bian1,5,5893,3025,0.322,1644,1302,1777,2131,1587,468,5.121,6.351,8.502,10.295,9.446,5.200,7.486,5.071,679.902,3.167,2.7500,3.0,2.9
卞,bian4,4,134,187,-0.165,29,19,42,120,88,23,0.090,0.093,0.201,0.580,0.524,0.256,0.291,5.889,1.608,5.584,3.0000,2.8,2.9
变,bian4,8,1927,102972,-0.963,38137,26118,18547,14197,7162,888,118.807,127.405,88.742,68.585,42.631,9.867,76.006,4.113,1309.898,2.882,2.1875,2.8,2.9
标,biao1,9,845697,10698,0.975,232141,187695,163788,145201,100401,28032,723.181,915.585,783.675,701.454,597.625,311.467,672.165,3.172,448.509,3.347,3.3750,3.3,3.4
彪,biao1,11,967676,3401,0.993,99982,161564,176365,249194,215077,68404,311.470,788.117,843.852,1203.836,1280.220,760.044,864.590,3.063,24.181,4.599,3.8125,2.2,3.3
飙,biao1,16,3459,90,0.949,128,1007,998,645,573,198,0.399,4.912,4.775,3.116,3.411,2.200,3.136,5.383,0.965,5.707,2.5000,1.8,2.7
镖,biao1,16,4281,108,0.951,538,346,397,1145,1395,568,1.676,1.688,1.900,5.531,8.304,6.311,4.235,5.281,3.151,5.382,2.6250,2.2,2.9
镳,biao1,20,232,8,0.933,42,29,23,60,54,32,0.131,0.141,0.110,0.290,0.321,0.356,0.225,5.912,0.772,5.752,2.5625,2.1,2.8
表,biao3,8,9342,1904,0.661,4912,2362,1886,1279,631,170,15.302,11.522,9.024,6.179,3.756,1.889,7.945,5.048,1468.941,2.833,2.8750,2.9,3.0
苾,bie2,8,47,297,-0.727,62,32,70,62,77,41,0.193,0.156,0.335,0.300,0.458,0.456,0.316,5.881,0.000,6.000,3.3750,2.9,2.9
邠,bin1,6,3,0,1.000,2,0,1,0,0,0,0.006,0.000,0.005,0.000,0.000,0.000,0.002,5.999,0.000,6.000,3.0625,2.6,2.8
玢,bin1,8,952,3973,-0.613,329,421,684,1726,1268,497,1.025,2.054,3.273,8.338,7.548,5.522,4.627,5.250,0.322,5.879,3.6250,3.3,3.3
宾,bin1,10,508910,42041,0.847,59592,74996,132906,170769,90880,22152,185.645,365.834,635.914,824.971,540.952,246.133,466.575,3.330,55.501,4.248,3.7500,3.9,3.4
彬,bin1,11,3332598,471470,0.752,662481,564747,757832,830871,677756,310607,2063.804,2754.863,3625.990,4013.870,4034.262,3451.189,3323.996,2.478,11.576,4.900,4.4375,4.2,3.5
斌,bin1,12,4814830,243107,0.904,647207,813912,1181715,1199966,883879,327804,2016.221,3970.302,5654.139,5796.937,5261.185,3642.267,4390.175,2.357,17.043,4.744,4.5625,4.1,3.7
滨,bin1,13,425603,55294,0.770,54030,72400,106679,120337,84532,43365,168.318,353.171,510.426,581.338,503.167,481.833,433.042,3.362,24.889,4.587,3.6875,3.7,3.2
缤,bin1,13,2195,2275,-0.018,99,178,385,791,1200,1817,0.308,0.868,1.842,3.821,7.143,20.189,5.695,5.174,6.303,5.137,3.9375,3.4,3.2
槟,bin1,14,10546,1806,0.708,339,476,1122,3091,4369,2963,1.056,2.322,5.368,14.932,26.006,32.922,13.768,4.831,4.116,5.291,3.1250,2.9,3.0
镔,bin1,15,9625,895,0.830,331,345,1063,2227,3433,3121,1.031,1.683,5.086,10.758,20.435,34.678,12.279,4.877,0.000,6.000,2.8750,2.6,2.9
膑,bin4,14,1096,179,0.719,30,68,207,395,406,168,0.093,0.332,0.990,1.908,2.417,1.867,1.268,5.644,1.415,5.617,2.6250,2.8,3.3
冰,bing1,6,444612,920261,-0.348,63107,85087,179232,342402,405065,289900,196.595,415.059,857.569,1654.116,2411.101,3221.111,1459.259,2.836,151.004,3.818,3.7500,1.9,3.1
兵,bing1,7,4454868,242185,0.897,419475,965303,1590821,1060511,546649,108036,1306.776,4708.795,7611.584,5123.242,3253.863,1200.400,3867.443,2.412,323.423,3.489,3.6250,2.8,3.3
丙,bing3,5,473169,184529,0.439,328604,138887,91163,56660,28758,13476,1023.688,677.498,436.187,273.720,171.179,149.733,455.334,3.341,20.773,4.662,2.4375,2.5,2.6
邴,bing3,7,55,5,0.833,3,4,5,17,17,14,0.009,0.020,0.024,0.082,0.101,0.156,0.065,5.973,0.000,6.000,3.0000,2.9,2.8
秉,bing3,8,204130,34801,0.709,118021,33922,24057,19430,20561,22775,367.667,165.473,115.105,93.865,122.387,253.056,186.259,3.728,11.576,4.900,3.8750,3.5,3.2
柄,bing3,9,15255,1392,0.833,1699,640,874,2080,4678,6683,5.293,3.122,4.182,10.048,27.845,74.256,20.791,4.662,17.557,4.731,2.5625,2.7,3.0
炳,bing3,9,1598317,336561,0.652,949766,364584,235680,176174,133900,76268,2958.773,1778.459,1127.656,851.082,797.024,847.422,1393.403,2.856,14.599,4.807,3.6875,3.2,3.3
卜,bo,2,21735,12990,0.252,9943,4029,3691,5798,5970,5292,30.975,19.654,17.660,28.010,35.536,58.800,31.773,4.484,28.940,4.524,3.3125,2.9,2.7
波,bo1,8,5517079,1119504,0.663,512107,927157,1845373,2111097,1000714,240740,1595.349,4522.717,8829.536,10198.536,5956.631,2674.889,5629.610,2.249,273.967,3.561,3.9375,3.6,3.4
玻,bo1,9,2612,442,0.711,128,255,593,1114,736,228,0.399,1.244,2.837,5.382,4.381,2.533,2.796,5.421,83.476,4.073,2.8125,2.7,2.8
菠,bo1,11,4139,2508,0.245,163,469,1152,2237,1828,828,0.508,2.288,5.512,10.807,10.881,9.200,6.533,5.123,4.888,5.230,2.7500,3.2,2.6
伯,bo2,7,542519,139798,0.590,360540,130399,78544,52019,38149,22343,1123.178,636.093,375.809,251.300,227.077,248.256,476.952,3.321,174.992,3.755,3.1875,3.1,3.3
泊,bo2,8,23534,5210,0.637,1675,1359,2153,5188,7223,11154,5.218,6.629,10.301,25.063,42.994,123.933,35.690,4.435,26.175,4.566,3.3750,3.3,3.3
勃,bo2,9,65383,7933,0.784,4115,4840,9794,21934,20286,12286,12.819,23.610,46.861,105.961,120.750,136.511,74.419,4.123,60.967,4.208,3.8750,3.3,3.8
铂,bo2,10,6765,1161,0.707,165,189,577,1521,1842,3635,0.514,0.922,2.761,7.348,10.964,40.389,10.483,4.940,2.894,5.410,3.0625,2.5,3.4
博,bo2,12,2060262,283098,0.758,44752,38008,86822,447216,803755,925068,139.414,185.405,415.416,2160.464,4784.256,10278.533,2993.915,2.524,93.766,4.023,4.9375,3.9,4.4
渤,bo2,12,19131,2385,0.778,1973,1522,2397,4220,4467,6919,6.146,7.424,11.469,20.386,26.589,76.878,24.815,4.588,7.460,5.073,3.9375,3.9,3.7
搏,bo2,13,16639,1463,0.838,128,186,479,3025,7050,7236,0.399,0.907,2.292,14.614,41.964,80.400,23.429,4.612,27.397,4.547,3.2500,3.1,3.5
擘,bo4,17,1314,241,0.690,20,62,391,605,322,155,0.062,0.302,1.871,2.923,1.917,1.722,1.466,5.608,0.000,6.000,3.0625,2.6,3.1
布,bu4,5,41532,13806,0.501,15735,9613,9875,9115,7211,3790,49.019,46.893,47.249,44.034,42.923,42.111,45.372,4.334,489.411,3.309,3.0625,3.0,2.8
步,bu4,7,144816,41060,0.558,95871,35006,25831,14795,9507,4727,298.664,170.761,123.593,71.473,56.589,52.522,128.934,3.886,699.195,3.155,3.2500,3.3,2.9
部,bu4,10,1241,135,0.804,225,172,247,331,286,115,0.701,0.839,1.182,1.599,1.702,1.278,1.217,5.654,1996.874,2.699,3.0000,2.8,3.2
才,cai2,3,4335195,456247,0.810,2349981,1021350,705301,415400,223001,73557,7320.813,4982.195,3374.646,2006.763,1327.387,817.300,3304.851,2.481,995.865,3.001,4.5000,3.6,3.7
材,cai2,7,57873,1548,0.948,16350,6410,7536,9977,11568,7627,50.935,31.268,36.057,48.198,68.857,84.744,53.343,4.265,299.949,3.522,4.1875,3.6,3.9
财,cai2,7,1755371,80700,0.912,851503,377392,265547,179808,115413,46470,2652.657,1840.937,1270.560,868.638,686.982,516.333,1306.018,2.884,240.975,3.616,3.8750,3.0,3.1
裁,cai2,12,92,26,0.559,27,12,6,22,35,16,0.084,0.059,0.029,0.106,0.208,0.178,0.111,5.954,62.382,4.198,2.2500,2.3,2.8
采,cai3,8,10037,66793,-0.739,20918,12544,12024,10806,10047,10522,65.165,61.190,57.531,52.203,59.804,116.911,68.801,4.156,435.004,3.361,3.5625,3.2,3.3
彩,cai3,11,321983,4929244,-0.877,1583190,1145664,1130032,841367,439348,114791,4932.056,5588.605,5406.852,4064.575,2615.167,1275.456,3980.452,2.400,165.667,3.778,4.1250,3.8,2.7
菜,cai4,11,599,28378,-0.959,15365,6146,4086,2124,1082,218,47.866,29.980,19.550,10.261,6.440,2.422,19.420,4.690,162.580,3.786,1.8125,2.5,2.2
蔡,cai4,14,3451,3272,0.027,1226,782,901,1381,1394,1041,3.819,3.815,4.311,6.671,8.298,11.567,6.414,5.130,33.764,4.459,3.1250,2.8,2.7
参,can1,8,22501,10045,0.383,7106,5983,8110,6874,3793,767,22.137,29.185,38.804,33.208,22.577,8.522,25.739,4.573,398.410,3.399,3.0625,3.2,3.4
灿,can4,7,740373,292290,0.434,195181,121941,129266,200366,215442,170647,608.040,594.834,618.498,967.952,1282.393,1896.078,994.633,3.002,18.908,4.701,4.1875,4.2,3.3
粲,can4,13,2433,2989,-0.103,28,43,125,927,1675,2625,0.087,0.210,0.598,4.478,9.970,29.167,7.418,5.075,0.450,5.839,4.1250,3.7,3.5
璨,can4,17,10272,22151,-0.366,133,234,742,6350,11207,13699,0.414,1.141,3.550,30.676,66.708,152.211,42.450,4.362,1.029,5.693,4.6250,4.3,3.6
仓,cang1,4,188522,5293,0.945,83463,47395,34446,18557,8120,2421,260.009,231.195,164.813,89.647,48.333,26.900,136.816,3.861,42.510,4.361,2.9375,3.0,2.9
苍,cang1,7,26699,2560,0.825,10431,6002,5381,4174,2523,732,32.495,29.278,25.746,20.164,15.018,8.133,21.806,4.642,46.819,4.320,2.7500,2.8,2.8
沧,cang1,7,4272,177,0.920,1133,574,774,916,705,352,3.530,2.800,3.703,4.425,4.196,3.911,3.761,5.322,8.746,5.011,3.1250,3.1,2.9
藏,cang2,17,4772,13635,-0.482,7030,2311,2258,3523,2759,575,21.900,11.273,10.804,17.019,16.423,6.389,13.968,4.825,157.306,3.801,2.3125,2.4,2.9
操,cao1,16,27569,2056,0.861,2597,1728,3835,10394,9200,1852,8.090,8.429,18.349,50.213,54.762,20.578,26.737,4.557,120.456,3.916,2.1250,2.0,2.5
曹,cao2,11,9625,2641,0.569,1378,964,1237,2495,3383,2804,4.293,4.702,5.919,12.053,20.137,31.156,13.043,4.853,60.839,4.209,3.0000,2.8,3.1
草,cao3,9,11736,41840,-0.562,16045,7534,4712,7694,13573,4098,49.984,36.751,22.545,37.169,80.792,45.533,45.462,4.333,310.946,3.506,2.0625,2.2,2.0
策,ce4,12,98477,10271,0.811,14322,9061,11803,19984,36493,17142,44.617,44.200,56.474,96.541,217.220,190.467,108.253,3.962,266.379,3.573,3.8125,3.4,4.0
岑,cen2,7,34318,42598,-0.108,14349,6923,7304,15955,20405,11951,44.701,33.771,34.947,77.077,121.458,132.789,74.124,4.124,4.888,5.230,3.6875,3.2,3.4
涔,cen2,10,978,1674,-0.262,33,45,95,454,1096,927,0.103,0.220,0.455,2.193,6.524,10.300,3.299,5.367,1.415,5.617,2.9375,2.8,2.9
层,ceng2,7,2836,8086,-0.481,3027,1482,1240,2279,2477,460,9.430,7.229,5.933,11.010,14.744,5.111,8.910,5.004,429.987,3.366,2.5625,2.8,2.9
曾,ceng2,12,49232,26881,0.294,14954,8220,9916,15953,17260,9770,46.586,40.098,47.445,77.068,102.738,108.556,70.415,4.146,358.473,3.444,3.1250,2.9,3.0
茶,cha2,9,3637,134544,-0.947,67824,33597,23073,9833,2909,574,211.290,163.888,110.397,47.502,17.315,6.378,92.795,4.028,109.908,3.955,3.1250,3.3,2.8
查,cha2,9,4782,4995,-0.022,2743,2109,1256,2238,1102,335,8.545,10.288,6.010,10.812,6.560,3.722,7.656,5.063,318.792,3.495,2.8750,3.3,3.1
钗,chai1,8,4718,101717,-0.911,47004,23443,16944,12686,5330,1074,146.430,114.356,81.072,61.285,31.726,11.933,74.467,4.122,1.672,5.573,3.5625,3.2,2.8
柴,chai2,10,540,473,0.066,351,85,75,131,257,114,1.093,0.415,0.359,0.633,1.530,1.267,0.883,5.725,56.787,4.238,2.6875,3.2,2.6
婵,chan2,11,3343,548106,-0.988,140866,85102,80908,120456,97079,26629,438.835,415.132,387.120,581.913,577.851,295.878,449.455,3.346,0.000,6.000,4.1875,3.7,3.1
禅,chan2,12,1512,1842,-0.098,452,257,339,938,1006,362,1.408,1.254,1.622,4.531,5.988,4.022,3.138,5.383,20.001,4.678,3.6875,3.9,3.2
蝉,chan2,14,1942,16197,-0.786,6562,3013,2121,3095,2502,845,20.442,14.698,10.148,14.952,14.893,9.389,14.087,4.821,6.303,5.137,2.6250,2.9,2.5
潺,chan2,15,1283,1684,-0.135,59,49,221,1379,973,286,0.184,0.239,1.057,6.662,5.792,3.178,2.852,5.414,6.688,5.114,3.5000,3.5,3.0
产,chan3,6,14627,1300,0.837,2979,3002,6482,2902,486,81,9.280,14.644,31.014,14.019,2.893,0.900,12.125,4.882,2729.962,2.564,2.6875,2.7,2.7
昌,chang1,8,4834799,996487,0.658,2481885,1145936,933846,636153,436053,199330,7731.729,5589.932,4468.163,3073.203,2595.554,2214.778,4278.893,2.369,63.476,4.191,4.4375,3.8,4.0
尝,chang2,9,658,628,0.023,765,138,117,118,116,32,2.383,0.673,0.560,0.570,0.690,0.356,0.872,5.728,45.983,4.328,2.4375,2.7,2.8
常,chang2,11,556042,233275,0.409,267098,156848,150334,117039,67245,30876,832.081,765.112,719.301,565.406,400.268,343.067,604.206,3.218,1172.078,2.931,3.5625,3.7,3.1
偿,chang2,11,219,342,-0.219,261,40,43,79,103,30,0.813,0.195,0.206,0.382,0.613,0.333,0.424,5.846,55.630,4.247,1.9375,2.8,2.2
嫦,chang2,14,299,159246,-0.996,50862,32809,33076,27819,12556,2697,158.449,160.044,158.258,134.391,74.738,29.967,119.308,3.920,6.045,5.152,4.0000,3.8,3.1
长,chang2,4,5015722,1536700,0.531,2772125,1481937,1172582,686773,317538,116500,8635.903,7228.961,5610.440,3317.744,1890.107,1294.444,4662.933,2.331,2037.391,2.691,3.8750,3.3,3.4
厂,chang3,2,20146,321,0.969,2297,4584,9599,3034,738,117,7.156,22.361,45.928,14.657,4.393,1.300,15.966,4.770,403.234,3.393,2.5000,2.6,2.7
场,chang3,6,5377,159,0.943,786,1147,1884,1087,505,138,2.449,5.595,9.014,5.251,3.006,1.533,4.475,5.262,871.936,3.059,2.4375,2.5,2.6
昶,chang3,9,45506,4728,0.812,7468,3888,5987,7520,12226,13113,23.265,18.966,28.646,36.329,72.774,145.700,54.280,4.257,1.286,5.641,3.9375,3.4,3.7
畅,chang4,8,181748,187418,-0.015,17101,11034,25347,61385,128242,126033,53.274,53.824,121.278,296.546,763.345,1400.367,448.106,3.348,38.973,4.398,4.6250,4.2,3.7
唱,chang4,11,3938,8307,-0.357,330,225,523,2219,6834,2070,1.028,1.098,2.502,10.720,40.679,23.000,13.171,4.849,172.548,3.761,3.3750,3.3,2.8
